coleta,umid,temp
13/08/2020 09:07:43,74.0,21.0
13/08/2020 09:07:51,69.0,21.0
13/08/2020 09:08:02,74.0,21.0
13/08/2020 09:08:10,68.0,21.0
13/08/2020 09:08:15,74.0,21.0
13/08/2020 09:08:21,68.0,21.0
13/08/2020 09:08:26,68.0,21.0
13/08/2020 09:08:32,68.0,21.0
13/08/2020 09:08:38,68.0,21.0
13/08/2020 09:08:43,68.0,21.0
13/08/2020 09:08:49,68.0,21.0
13/08/2020 09:08:54,68.0,21.0
13/08/2020 09:09:05,74.0,21.0
13/08/2020 09:09:10,74.0,21.0
13/08/2020 09:09:16,68.0,21.0
13/08/2020 09:09:21,68.0,21.0
13/08/2020 09:09:27,68.0,21.0
13/08/2020 09:09:32,68.0,21.0
13/08/2020 09:09:38,68.0,21.0
13/08/2020 09:09:43,68.0,21.0
13/08/2020 09:09:49,68.0,21.0
13/08/2020 09:09:54,68.0,21.0
13/08/2020 09:10:00,68.0,21.0
13/08/2020 09:10:06,68.0,21.0
13/08/2020 09:10:11,68.0,21.0
13/08/2020 09:10:17,68.0,21.0
13/08/2020 09:10:22,68.0,21.0
13/08/2020 09:10:28,68.0,21.0
13/08/2020 09:10:33,68.0,21.0
13/08/2020 09:10:41,68.0,21.0
13/08/2020 09:10:47,73.0,21.0
13/08/2020 09:10:52,68.0,21.0
13/08/2020 09:10:58,68.0,21.0
13/08/2020 09:11:03,68.0,21.0
13/08/2020 09:11:09,68.0,21.0
13/08/2020 09:11:14,68.0,21.0
13/08/2020 09:11:20,68.0,21.0
13/08/2020 09:11:25,68.0,21.0
13/08/2020 09:11:34,68.0,21.0
13/08/2020 09:11:39,73.0,21.0
13/08/2020 09:11:45,68.0,21.0
13/08/2020 09:11:50,68.0,21.0
13/08/2020 09:11:56,68.0,21.0
13/08/2020 09:12:01,68.0,21.0
13/08/2020 09:12:07,68.0,21.0
13/08/2020 09:12:12,68.0,21.0
13/08/2020 09:12:18,68.0,21.0
13/08/2020 09:12:23,68.0,21.0
13/08/2020 09:12:31,68.0,21.0
13/08/2020 09:12:39,68.0,21.0
13/08/2020 09:12:45,73.0,21.0
13/08/2020 09:12:50,68.0,21.0
13/08/2020 09:12:59,68.0,21.0
13/08/2020 09:13:04,73.0,21.0
13/08/2020 09:13:10,68.0,21.0
13/08/2020 09:13:15,68.0,21.0
13/08/2020 09:13:23,68.0,21.0
13/08/2020 09:13:34,73.0,21.0
13/08/2020 09:13:39,73.0,21.0
13/08/2020 09:13:45,68.0,21.0
13/08/2020 09:13:50,68.0,21.0
13/08/2020 09:13:58,68.0,21.0
13/08/2020 09:14:04,73.0,21.0
13/08/2020 09:14:09,68.0,21.0
13/08/2020 09:14:15,68.0,21.0
13/08/2020 09:14:21,68.0,21.0
13/08/2020 09:14:29,68.0,21.0
13/08/2020 09:14:34,74.0,21.0
13/08/2020 09:14:40,68.0,21.0
13/08/2020 09:14:48,68.0,21.0
13/08/2020 09:14:53,74.0,21.0
13/08/2020 09:14:59,68.0,21.0
13/08/2020 09:15:04,68.0,21.0
13/08/2020 09:15:10,69.0,21.0
13/08/2020 09:15:15,68.0,21.0
13/08/2020 09:15:21,69.0,21.0
13/08/2020 09:15:26,69.0,21.0
13/08/2020 09:15:32,68.0,21.0
13/08/2020 09:15:37,68.0,21.0
13/08/2020 09:15:43,68.0,21.0
13/08/2020 09:15:49,68.0,21.0
13/08/2020 09:15:54,68.0,21.0
13/08/2020 09:16:00,68.0,21.0
13/08/2020 09:16:05,68.0,21.0
13/08/2020 09:16:11,68.0,21.0
13/08/2020 09:16:16,68.0,21.0
13/08/2020 09:16:22,68.0,21.0
13/08/2020 09:16:27,68.0,21.0
13/08/2020 09:16:33,68.0,21.0
13/08/2020 09:16:38,68.0,21.0
13/08/2020 09:16:44,68.0,21.0
13/08/2020 09:16:49,68.0,21.0
13/08/2020 09:16:55,68.0,21.0
13/08/2020 09:17:00,68.0,21.0
13/08/2020 09:17:06,68.0,21.0
13/08/2020 09:17:11,68.0,21.0
13/08/2020 09:17:17,68.0,21.0
13/08/2020 09:17:23,68.0,21.0
13/08/2020 09:17:28,68.0,21.0
13/08/2020 09:17:34,68.0,21.0
13/08/2020 09:17:42,68.0,21.0
13/08/2020 09:17:47,74.0,21.0
13/08/2020 09:17:53,68.0,21.0
13/08/2020 09:17:58,68.0,21.0
13/08/2020 09:18:04,68.0,21.0
13/08/2020 09:18:09,68.0,21.0
13/08/2020 09:18:15,68.0,21.0
13/08/2020 09:18:20,68.0,21.0
13/08/2020 09:18:26,68.0,21.0
13/08/2020 09:18:31,68.0,21.0
13/08/2020 09:18:37,68.0,21.0
13/08/2020 09:18:43,68.0,21.0
13/08/2020 09:18:48,68.0,21.0
13/08/2020 09:18:54,68.0,21.0
13/08/2020 09:19:02,68.0,21.0
13/08/2020 09:19:12,74.0,21.0
13/08/2020 09:19:18,74.0,21.0
13/08/2020 09:19:23,68.0,21.0
13/08/2020 09:19:29,69.0,21.0
13/08/2020 09:19:34,69.0,21.0
13/08/2020 09:19:47,74.0,21.0
13/08/2020 09:19:53,74.0,21.0
13/08/2020 09:19:59,69.0,21.0
13/08/2020 09:20:07,69.0,21.0
13/08/2020 09:20:12,74.0,21.0
13/08/2020 09:20:18,69.0,21.0
13/08/2020 09:20:23,69.0,21.0
13/08/2020 09:20:31,69.0,21.0
13/08/2020 09:20:37,74.0,21.0
13/08/2020 09:20:42,69.0,21.0
13/08/2020 09:20:48,69.0,21.0
13/08/2020 09:20:53,69.0,21.0
13/08/2020 09:20:59,69.0,21.0
13/08/2020 09:21:07,69.0,21.0
13/08/2020 09:21:12,74.0,21.0
13/08/2020 09:21:18,69.0,21.0
13/08/2020 09:21:24,69.0,21.0
13/08/2020 09:21:29,69.0,21.0
13/08/2020 09:21:35,69.0,21.0
13/08/2020 09:21:40,69.0,21.0
13/08/2020 09:21:48,69.0,21.0
13/08/2020 09:21:54,74.0,21.0
13/08/2020 09:21:59,69.0,21.0
13/08/2020 09:22:05,69.0,21.0
