coleta,umid,temp
12/08/2020 23:07:31,64.0,23.0
12/08/2020 23:07:36,64.0,23.0
12/08/2020 23:07:44,64.0,23.0
12/08/2020 23:07:50,67.0,23.0
12/08/2020 23:07:55,64.0,23.0
12/08/2020 23:08:01,64.0,23.0
12/08/2020 23:08:09,64.0,23.0
12/08/2020 23:08:17,64.0,23.0
12/08/2020 23:08:22,67.0,23.0
12/08/2020 23:08:30,64.0,23.0
12/08/2020 23:08:36,67.0,23.0
12/08/2020 23:08:44,64.0,23.0
12/08/2020 23:08:50,67.0,23.0
12/08/2020 23:08:55,64.0,23.0
12/08/2020 23:09:01,64.0,23.0
12/08/2020 23:09:06,64.0,23.0
12/08/2020 23:09:12,64.0,23.0
12/08/2020 23:09:17,64.0,23.0
12/08/2020 23:09:23,64.0,23.0
12/08/2020 23:09:28,64.0,23.0
12/08/2020 23:09:34,64.0,23.0
12/08/2020 23:09:39,64.0,23.0
12/08/2020 23:09:45,64.0,23.0
12/08/2020 23:09:50,64.0,23.0
12/08/2020 23:09:58,64.0,23.0
12/08/2020 23:10:04,67.0,23.0
12/08/2020 23:10:09,64.0,23.0
12/08/2020 23:10:15,64.0,23.0
12/08/2020 23:10:23,64.0,23.0
12/08/2020 23:10:29,67.0,23.0
12/08/2020 23:10:34,64.0,23.0
12/08/2020 23:10:40,64.0,23.0
12/08/2020 23:10:45,64.0,23.0
12/08/2020 23:10:51,64.0,23.0
12/08/2020 23:10:56,64.0,23.0
12/08/2020 23:11:02,64.0,23.0
12/08/2020 23:11:07,64.0,23.0
12/08/2020 23:11:18,68.0,23.0
12/08/2020 23:11:23,68.0,23.0
12/08/2020 23:11:29,64.0,23.0
12/08/2020 23:11:34,64.0,23.0
12/08/2020 23:11:40,64.0,23.0
12/08/2020 23:11:46,64.0,23.0
12/08/2020 23:11:51,64.0,23.0
12/08/2020 23:11:57,64.0,23.0
12/08/2020 23:12:02,64.0,23.0
12/08/2020 23:12:08,63.0,23.0
12/08/2020 23:12:13,64.0,23.0
12/08/2020 23:12:19,64.0,23.0
12/08/2020 23:12:24,64.0,23.0
12/08/2020 23:12:30,64.0,23.0
12/08/2020 23:12:35,64.0,23.0
12/08/2020 23:12:43,64.0,23.0
12/08/2020 23:12:49,68.0,23.0
12/08/2020 23:12:54,64.0,23.0
12/08/2020 23:13:00,64.0,23.0
12/08/2020 23:13:05,64.0,23.0
12/08/2020 23:13:11,64.0,23.0
12/08/2020 23:13:17,64.0,23.0
12/08/2020 23:13:25,64.0,23.0
12/08/2020 23:13:30,68.0,23.0
12/08/2020 23:13:36,64.0,23.0
12/08/2020 23:13:41,64.0,23.0
12/08/2020 23:13:52,67.0,23.0
12/08/2020 23:14:00,64.0,23.0
12/08/2020 23:14:05,67.0,23.0
12/08/2020 23:14:11,64.0,23.0
12/08/2020 23:14:21,67.0,23.0
12/08/2020 23:14:32,67.0,23.0
12/08/2020 23:14:38,67.0,23.0
12/08/2020 23:14:48,67.0,23.0
12/08/2020 23:14:54,67.0,23.0
12/08/2020 23:14:59,64.0,23.0
12/08/2020 23:15:05,64.0,23.0
12/08/2020 23:15:10,64.0,23.0
12/08/2020 23:15:21,67.0,23.0
12/08/2020 23:15:26,67.0,23.0
12/08/2020 23:15:32,64.0,23.0
12/08/2020 23:15:40,64.0,23.0
12/08/2020 23:15:46,67.0,23.0
12/08/2020 23:15:51,64.0,23.0
12/08/2020 23:15:57,64.0,23.0
12/08/2020 23:16:05,64.0,23.0
12/08/2020 23:16:10,67.0,23.0
12/08/2020 23:16:16,64.0,23.0
12/08/2020 23:16:21,64.0,23.0
12/08/2020 23:16:27,64.0,23.0
12/08/2020 23:16:32,64.0,23.0
12/08/2020 23:16:38,64.0,23.0
12/08/2020 23:16:43,64.0,23.0
12/08/2020 23:16:49,64.0,23.0
12/08/2020 23:16:54,64.0,23.0
12/08/2020 23:17:00,64.0,23.0
12/08/2020 23:17:05,64.0,23.0
12/08/2020 23:17:11,64.0,23.0
12/08/2020 23:17:17,64.0,23.0
12/08/2020 23:17:22,64.0,23.0
12/08/2020 23:17:28,64.0,23.0
12/08/2020 23:17:33,64.0,23.0
12/08/2020 23:17:41,64.0,23.0
12/08/2020 23:17:47,68.0,23.0
12/08/2020 23:17:52,64.0,23.0
12/08/2020 23:17:58,64.0,23.0
12/08/2020 23:18:03,64.0,23.0
12/08/2020 23:18:09,64.0,23.0
12/08/2020 23:18:14,64.0,23.0
12/08/2020 23:18:20,64.0,23.0
12/08/2020 23:18:25,64.0,23.0
12/08/2020 23:18:34,65.0,23.0
12/08/2020 23:18:39,68.0,23.0
12/08/2020 23:18:45,65.0,23.0
12/08/2020 23:18:50,64.0,23.0
12/08/2020 23:18:56,65.0,23.0
12/08/2020 23:19:01,64.0,23.0
12/08/2020 23:19:07,65.0,23.0
12/08/2020 23:19:12,65.0,23.0
