quantidade_pedido;data_pedido
1.0;2014-09-09 11:24:18
0.0;2014-09-09 11:24:45
0.0;2014-09-09 11:26:51
0.0;2014-09-09 11:26:54
0.0;2014-09-09 11:27:16
3.0;2014-09-09 11:27:55
0.0;2014-09-09 11:28:51
3.0;2014-09-09 11:29:40
0.0;2014-09-09 11:31:07
0.0;2014-09-09 11:31:28
2.0;2014-09-09 11:32:00
0.0;2014-09-09 11:32:24
0.0;2014-09-09 11:32:32
0.0;2014-09-09 11:32:33
2.0;2014-09-09 11:33:28
0.0;2014-09-09 11:34:03
0.0;2014-09-09 11:34:11
0.0;2014-09-09 11:35:06
5.0;2014-09-09 11:35:06
0.0;2014-09-09 11:35:49
2.0;2014-09-09 11:35:54
1.0;2014-09-09 11:36:06
3.0;2014-09-09 11:40:57
0.0;2014-09-09 11:41:22
2.0;2014-09-09 11:42:56
3.0;2014-09-09 11:43:19
0.0;2014-09-09 11:43:57
3.0;2014-09-09 11:45:01
0.0;2014-09-09 11:45:41
3.0;2014-09-09 11:47:20
0.0;2014-09-09 11:47:21
1.0;2014-09-09 11:48:10
0.0;2014-09-09 11:48:32
0.0;2014-09-09 11:49:00
0.0;2014-09-09 11:50:07
0.0;2014-09-09 11:50:48
1.0;2014-09-09 11:50:54
0.0;2014-09-09 11:51:31
1.0;2014-09-09 12:07:23
3.0;2014-09-09 12:07:35
0.0;2014-09-09 12:07:52
1.0;2014-09-09 12:10:50
1.0;2014-09-09 12:11:05
1.0;2014-09-09 12:12:32
0.0;2014-09-09 12:22:32
0.0;2014-09-09 12:24:39
0.0;2014-09-09 12:26:38
0.0;2014-09-09 14:39:55
0.0;2014-09-09 14:40:02
0.0;2014-09-09 14:40:17
1.0;2014-09-10 09:08:01
0.0;2014-09-10 09:08:23
2.0;2014-09-10 09:08:34
3.0;2014-09-10 09:08:44
0.0;2014-09-10 09:09:04
0.0;2014-09-10 09:14:19
0.0;2014-09-10 09:14:29
1.0;2014-09-10 09:15:12
1.0;2014-09-10 09:15:26
0.0;2014-09-10 09:16:43
0.0;2014-09-10 09:16:55
0.0;2014-09-10 09:16:59
0.0;2014-09-10 09:20:57
1.0;2014-09-10 09:21:50
1.0;2014-09-10 09:23:47
0.0;2014-09-10 09:23:54
0.0;2014-09-10 09:24:54
0.0;2014-09-10 09:25:16
0.0;2014-09-10 09:26:17
2.0;2014-09-10 09:27:45
1.0;2014-09-10 09:28:12
1.0;2014-09-10 09:28:32
0.0;2014-09-10 09:28:44
1.0;2014-09-10 09:29:01
0.0;2014-09-10 09:29:51
2.0;2014-09-10 09:30:10
0.0;2014-09-10 09:30:34
0.0;2014-09-10 09:30:46
1.0;2014-09-10 09:31:55
1.0;2014-09-10 09:32:00
1.0;2014-09-10 10:03:13
0.0;2014-09-10 10:04:15
0.0;2014-09-10 15:35:15
0.0;2014-09-10 15:35:24
